A=5818 B=3462 C=7313 X=198986823 Y=4195674399 Z=97962322646 M=7590
A=8669 B=8271 C=6535 X=791353421 Y=3830496508 Z=21919223530 M=6776
A=9585 B=6096 C=5847 X=592593955 Y=2559807758 Z=27100099402 M=1176
A=7410 B=4360 C=9934 X=723753219 Y=9345255645 Z=91223256226 M=9122
A=9968 B=8690 C=6201 X=957016113 Y=4416504250 Z=66827433045 M=8475
A=5921 B=5314 C=5933 X=255036735 Y=6963225136 Z=57718417820 M=5922
A=3565 B=8403 C=5349 X=803708327 Y=5795868923 Z=60679316922 M=6475
A=7058 B=8623 C=8466 X=911073400 Y=9714049169 Z=78790742578 M=2521
A=5216 B=4588 C=5280 X=471931926 Y=4299265679 Z=57174230444 M=6559
A=2333 B=5605 C=9336 X=407198086 Y=9224824187 Z=97843768557 M=7361
A=7813 B=3539 C=5402 X=327960439 Y=1737128325 Z=77069324558 M=6652
A=4066 B=9969 C=8813 X=214247019 Y=4745388677 Z=68369272768 M=8519
A=2504 B=8153 C=7161 X=601281903 Y=6271416956 Z=71407113914 M=9661
A=2327 B=9741 C=8707 X=189801155 Y=9320776084 Z=92827267858 M=1158
A=7589 B=7556 C=7324 X=658519349 Y=5272117366 Z=55929150952 M=1923
A=4123 B=5765 C=7689 X=354993631 Y=2264780884 Z=49416214001 M=5450
A=9337 B=8976 C=9225 X=268813752 Y=9730112361 Z=60794160734 M=1842
A=4040 B=4478 C=9109 X=105738394 Y=2453329765 Z=56798282360 M=7288
A=9408 B=6793 C=5140 X=350971557 Y=5795321507 Z=46438703475 M=8808
A=9719 B=5585 C=9842 X=354901353 Y=2415767246 Z=57488162300 M=1778
A=5509 B=9426 C=7496 X=365829104 Y=9569658987 Z=59075291316 M=7977
A=9273 B=9699 C=6631 X=253142950 Y=6989980843 Z=59547446084 M=5237
A=2088 B=7707 C=7078 X=599754906 Y=9414282059 Z=10088271228 M=9269
A=5347 B=6320 C=5496 X=347970176 Y=2684261326 Z=76343208217 M=9978
A=8476 B=3950 C=5582 X=901824113 Y=4351620045 Z=11489529872 M=4272
A=9847 B=7091 C=9973 X=889174941 Y=8154856712 Z=47782366479 M=7121
A=9191 B=4515 C=6043 X=649301294 Y=8113222952 Z=92590583847 M=3970
A=2902 B=4020 C=6228 X=313471160 Y=8978453498 Z=23782422444 M=4713
A=3458 B=7719 C=8904 X=371546502 Y=1918720811 Z=13669887635 M=3823
A=3152 B=4849 C=9011 X=681574778 Y=6549142110 Z=58446555630 M=2908
A=6781 B=7508 C=5936 X=575775373 Y=8662606141 Z=65797677170 M=9657
