8069:Rrrrrr GgggGG bbBbBB
1346:rRRRrR GgGGgG BbBbBb
7948:rRRRRr gggGGg BbBbBb
8339:RrrrRR GgGgGg BBBbBB
6242:rRRRRR gGGggg BbbBBb
3636:RRRrrR GGGgGg bbBBBb
2907:rrRrRr GggggG bbbBBb
2334:RRRrrR gggGgG bbbBbb
5874:RrRrRR GggGgg BBbBBB
1220:RRrrrR GGGggG bbbbbB
7348:rrRRRr GgGGGg bBbbbb
2702:rRRRrR GGgggG BbBbBb
5349:RrRrRR GGgGgG BBbBbb
6540:RrRrRR GgGGGG bBBBBb
2014:rRRRrr ggggGg BbBbBb
3872:rRrrrR GGGGGG Bbbbbb
6879:rRrRrr ggGGgG bBBBBb
6910:rRrrRR GGgGgG bbBbBb
9042:RRRRRR GGGGGG BBBBBB
3285:rrrrrr gggggg bbbbbb
