id=1, plug=YELLOW TRIANGLE, leftSocket=GREEN TRIANGLE, rightSocket=CYAN STAR, data=--------------------1
id=2, plug=CYAN DIAMOND, leftSocket=CYAN PENTAGON, rightSocket=BLACK STAR, data=---------------------
id=3, plug=BLACK HEXAGON, leftSocket=RED CIRCLE, rightSocket=BLUE SQUARE, data=1--------------------
id=4, plug=CYAN PENTAGON, leftSocket=CYAN PENTAGON, rightSocket=YELLOW STAR, data=1--33-----22---------
id=5, plug=CYAN STAR, leftSocket=BLACK DIAMOND, rightSocket=CYAN TRIANGLE, data=1--------------------
id=6, plug=BLUE PENTAGON, leftSocket=GREEN HEXAGON, rightSocket=GREEN STAR, data=-----3-3----2-2-----1
id=7, plug=GREEN PENTAGON, leftSocket=RED HEXAGON, rightSocket=BLACK TRIANGLE, data=1---3-3----2-2-------
id=8, plug=GREEN OCTAGON, leftSocket=CYAN CIRCLE, rightSocket=MAGENTA DIAMOND, data=---------------------
id=9, plug=YELLOW PENTAGON, leftSocket=MAGENTA STAR, rightSocket=BLACK OCTAGON, data=---------------------
id=10, plug=MAGENTA DIAMOND, leftSocket=MAGENTA PENTAGON, rightSocket=BLUE SQUARE, data=---33-----22---------
id=11, plug=CYAN DIAMOND, leftSocket=WHITE STAR, rightSocket=WHITE CIRCLE, data=---33-----22--------1
id=12, plug=RED CIRCLE, leftSocket=MAGENTA DIAMOND, rightSocket=GREEN HEXAGON, data=--------------------1
id=13, plug=WHITE OCTAGON, leftSocket=YELLOW DIAMOND, rightSocket=BLUE DIAMOND, data=---------------------
id=14, plug=WHITE OCTAGON, leftSocket=RED TRIANGLE, rightSocket=MAGENTA CIRCLE, data=--------------------1
id=15, plug=RED TRIANGLE, leftSocket=YELLOW PENTAGON, rightSocket=GREEN HEXAGON, data=---------------------
id=16, plug=YELLOW DIAMOND, leftSocket=BLUE STAR, rightSocket=CYAN HEXAGON, data=--------------------1
id=17, plug=BLACK OCTAGON, leftSocket=BLUE STAR, rightSocket=BLUE STAR, data=------3-3----2-2----1
id=18, plug=BLUE OCTAGON, leftSocket=BLACK PENTAGON, rightSocket=WHITE OCTAGON, data=----3------2--------1
id=19, plug=MAGENTA OCTAGON, leftSocket=MAGENTA OCTAGON, rightSocket=MAGENTA STAR, data=------3-3----2-2-----
id=20, plug=MAGENTA SQUARE, leftSocket=GREEN SQUARE, rightSocket=RED PENTAGON, data=---------------------
id=21, plug=BLUE PENTAGON, leftSocket=BLUE STAR, rightSocket=MAGENTA SQUARE, data=--------------------1
id=22, plug=RED OCTAGON, leftSocket=BLUE CIRCLE, rightSocket=GREEN HEXAGON, data=1--------------------
id=23, plug=GREEN CIRCLE, leftSocket=GREEN DIAMOND, rightSocket=MAGENTA OCTAGON, data=-----3------2--------
id=24, plug=RED DIAMOND, leftSocket=WHITE TRIANGLE, rightSocket=MAGENTA DIAMOND, data=-----3------2-------1
id=25, plug=CYAN OCTAGON, leftSocket=CYAN HEXAGON, rightSocket=MAGENTA PENTAGON, data=-----3-3----2-2-----1
id=26, plug=GREEN SQUARE, leftSocket=BLUE PENTAGON, rightSocket=RED CIRCLE, data=1------3-3----2-2----
id=27, plug=YELLOW STAR, leftSocket=MAGENTA STAR, rightSocket=GREEN TRIANGLE, data=1--------------------
id=28, plug=MAGENTA DIAMOND, leftSocket=GREEN PENTAGON, rightSocket=BLACK STAR, data=---------------------
id=29, plug=CYAN CIRCLE, leftSocket=BLUE CIRCLE, rightSocket=WHITE HEXAGON, data=1--------------------
id=30, plug=MAGENTA SQUARE, leftSocket=GREEN CIRCLE, rightSocket=MAGENTA STAR, data=1------3------2------
